City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lorengau,PG,2021-04-04 02:34:24,-2.0226,147.2712,82.11,80,85,10.83,light rain
1,Nantucket,US,2021-04-04 02:34:24,41.2835,-70.0995,41.4,53,0,11.59,clear sky
2,Port Alfred,ZA,2021-04-04 02:34:25,-33.5906,26.891,60.22,81,0,8.66,clear sky
3,Torbay,CA,2021-04-04 02:34:25,47.6666,-52.7314,37.99,100,90,12.66,light rain
4,Urumqi,CN,2021-04-04 02:34:25,43.801,87.6005,42.8,61,0,4.47,clear sky
5,Saskylakh,RU,2021-04-04 02:34:26,71.9167,114.0833,-9.92,93,16,2.44,few clouds
6,Najran,SA,2021-04-04 02:34:26,17.4924,44.1277,68.0,21,19,16.11,dust
7,Port Moresby,PG,2021-04-04 02:32:56,-9.4431,147.1797,93.2,49,75,11.5,broken clouds
8,Ponta Do Sol,PT,2021-04-04 02:34:27,32.6667,-17.1,57.0,66,61,1.01,broken clouds
9,Atuona,PF,2021-04-04 02:30:54,-9.8,-139.0333,80.74,74,100,11.81,overcast clouds
10,Tinskoy,RU,2021-04-04 02:34:27,56.1525,96.9161,33.82,97,100,8.9,light snow
11,Ahuimanu,US,2021-04-04 02:34:27,21.4447,-157.8378,78.8,61,75,14.97,light rain
12,Busselton,AU,2021-04-04 02:34:03,-33.65,115.3333,68.0,84,100,5.01,light rain
13,Bluff,NZ,2021-04-04 02:34:28,-46.6,168.3333,61.0,80,53,21.0,broken clouds
14,Chilca,PE,2021-04-04 02:32:37,-12.5211,-76.7372,75.0,73,0,2.3,clear sky
15,Isangel,VU,2021-04-04 02:34:28,-19.55,169.2667,80.37,81,100,18.03,overcast clouds
16,Mataura,NZ,2021-04-04 02:34:29,-46.1927,168.8643,61.0,80,76,21.0,broken clouds
17,Punta Arenas,CL,2021-04-04 02:34:29,-53.15,-70.9167,37.4,75,20,9.22,few clouds
18,Kpandae,GH,2021-04-04 02:34:29,8.4689,-0.0113,81.05,70,96,9.86,overcast clouds
19,Ushuaia,AR,2021-04-04 02:31:42,-54.8,-68.3,37.4,81,40,10.36,scattered clouds
20,San Patricio,US,2021-04-04 02:31:45,28.017,-97.5169,69.8,68,40,8.05,scattered clouds
21,Jamestown,US,2021-04-04 02:34:30,42.097,-79.2353,46.0,31,90,9.22,overcast clouds
22,Mar Del Plata,AR,2021-04-04 02:30:39,-38.0023,-57.5575,66.0,88,0,6.91,clear sky
