City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,42.8,75,20,6.91,AR,2021-04-04 15:23:56
1,Oussouye,12.485,-16.5469,96.8,69,0,4.61,SN,2021-04-04 15:26:26
2,Chokurdakh,70.6333,147.9167,-25.92,100,18,4.83,RU,2021-04-04 15:26:27
3,Esperance,-33.8667,121.9,62.6,88,2,14.97,AU,2021-04-04 15:26:27
4,Bluff,-46.6,168.3333,57.99,69,62,4.0,NZ,2021-04-04 15:24:06
5,Avarua,-21.2078,-159.775,80.6,83,75,13.8,CK,2021-04-04 15:26:28
6,Beyneu,45.3167,55.2,56.5,50,48,17.96,KZ,2021-04-04 15:26:28
7,Bambous Virieux,-20.3428,57.7575,82.0,78,20,8.05,MU,2021-04-04 15:25:30
8,Castro,-24.7911,-50.0119,70.39,59,69,6.91,BR,2021-04-04 15:21:53
9,Rikitea,-23.1203,-134.9692,77.27,67,36,14.2,PF,2021-04-04 15:26:29
10,Cape Town,-33.9258,18.4232,73.99,68,20,13.8,ZA,2021-04-04 15:25:51
11,Kapaa,22.0752,-159.319,73.4,68,90,19.57,US,2021-04-04 15:26:29
12,Faanui,-16.4833,-151.75,81.03,77,25,8.16,PF,2021-04-04 15:26:30
13,Puerto Ayora,-0.7393,-90.3518,80.6,78,20,9.22,EC,2021-04-04 15:26:30
14,Atambua,-9.1061,124.8925,73.53,95,100,18.16,ID,2021-04-04 15:26:30
15,Pingzhuang,42.0372,119.2889,47.62,18,0,3.49,CN,2021-04-04 15:26:31
16,Berbera,10.4396,45.0143,82.94,62,61,4.09,SO,2021-04-04 15:26:31
17,Hasaki,35.7333,140.8333,63.0,100,75,5.75,JP,2021-04-04 15:26:31
18,Punta Arenas,-53.15,-70.9167,44.6,57,0,14.97,CL,2021-04-04 15:22:17
19,Klaksvik,62.2266,-6.589,24.8,80,75,35.68,FO,2021-04-04 15:26:32
20,Vaini,-21.2,-175.2,75.2,83,75,5.75,TO,2021-04-04 15:26:33
21,Guerrero Negro,27.9769,-114.0611,61.0,80,2,14.05,MX,2021-04-04 15:26:33
22,Marawi,7.9986,124.2928,68.13,93,100,1.39,PH,2021-04-04 15:26:33
23,East London,-33.0153,27.9116,75.2,50,0,3.44,ZA,2021-04-04 15:25:20
24,Opuwo,-18.0607,13.84,86.38,28,8,12.44,NA,2021-04-04 15:26:34
25,Turayf,31.6725,38.6637,68.0,24,0,6.91,SA,2021-04-04 15:26:35
26,Atuona,-9.8,-139.0333,80.11,78,93,10.29,PF,2021-04-04 15:26:35
27,Lavrentiya,65.5833,-171.0,-6.59,84,100,8.19,RU,2021-04-04 15:26:35
28,Georgetown,5.4112,100.3354,86.0,74,20,6.91,MY,2021-04-04 15:26:36
29,Riachao Das Neves,-11.7461,-44.91,88.72,42,72,5.7,BR,2021-04-04 15:26:36
30,New Norfolk,-42.7826,147.0587,57.0,66,100,4.0,AU,2021-04-04 15:26:36
31,Lebu,-37.6167,-73.65,60.76,62,0,2.62,CL,2021-04-04 15:26:36
32,Garissa,-0.4536,39.6401,91.54,46,90,13.06,KE,2021-04-04 15:26:37
33,Hokitika,-42.7167,170.9667,62.01,92,99,7.25,NZ,2021-04-04 15:26:37
34,Monte Alegre,-2.0078,-54.0692,85.48,63,82,4.99,BR,2021-04-04 15:26:38
35,Torbay,47.6666,-52.7314,42.01,100,90,16.11,CA,2021-04-04 15:26:38
36,Nevel,56.0209,29.9284,40.66,55,98,7.65,RU,2021-04-04 15:26:39
